datetime,BMS Temp,BatteryAdaptiveSOC,BatteryAdaptiveAmphours,AuxilaryBatteryVoltage
2023-06-27 15:23:21.548595,12.8,180.4,85.5,31
2023-06-27 15:23:23.548559,12.8,180.4,85.5,31
2023-06-27 15:23:25.548589,12.8,180.4,85.5,31
2023-06-27 15:23:27.548548,12.8,180.4,85.5,31
2023-06-27 15:23:29.548593,12.8,180.4,85.5,31
2023-06-27 15:23:31.548462,12.9,180.4,85.5,31
2023-06-27 15:23:33.548413,12.8,180.4,85.5,31
2023-06-27 15:23:35.548309,12.8,180.4,85.5,31
2023-06-27 15:23:37.548242,12.8,180.4,85.5,31
2023-06-27 15:23:39.548231,12.8,180.4,85.5,31
2023-06-27 15:23:41.548186,12.9,180.4,85.5,31
2023-06-27 15:23:43.548044,12.8,180.4,85.5,31
2023-06-27 15:23:45.548041,12.9,180.4,85.5,31
2023-06-27 15:23:47.547537,12.8,180.4,85.5,31
2023-06-27 15:23:49.547835,12.8,180.4,85.5,31
2023-06-27 15:23:51.547801,12.8,180.4,85.5,31
2023-06-27 15:23:53.547809,12.8,180.4,85.5,31
2023-06-27 15:26:01.715696,12.8,180.4,85.5,31
2023-06-27 15:26:03.715651,12.8,180.4,85.5,31
2023-06-27 15:26:05.715642,12.8,180.4,85.5,31
2023-06-27 15:26:07.715578,12.9,180.4,85.5,31
2023-06-27 15:26:09.715446,12.8,180.4,85.5,31
2023-06-27 15:26:11.715461,12.8,180.4,85.5,31
2023-06-27 15:26:13.715328,12.8,180.4,85.5,31
2023-06-27 15:26:15.715266,12.8,180.4,85.5,31
2023-06-27 15:26:17.715287,12.8,180.4,85.5,31
2023-06-27 15:26:19.715148,12.8,180.4,85.5,31
2023-06-27 15:26:21.714991,12.8,180.4,85.5,31
2023-06-27 15:26:23.715112,12.8,180.4,85.5,31
2023-06-27 15:26:25.715035,12.8,180.4,85.5,31
2023-06-27 15:26:27.714910,12.8,180.4,85.5,31
2023-06-27 15:26:29.714843,12.8,180.4,85.5,31
2023-06-27 15:26:31.714854,12.8,180.4,85.5,31
2023-06-27 15:26:33.714594,12.8,180.4,85.5,31
2023-06-27 15:26:35.714258,12.8,180.4,85.5,31
2023-06-27 15:26:37.713896,12.8,180.4,85.5,31
2023-06-27 15:26:39.713485,12.8,180.4,85.5,31
2023-06-27 15:26:41.713259,12.9,180.4,85.5,31
2023-06-27 15:26:43.712920,12.8,180.4,85.5,31
2023-06-27 15:26:45.712796,12.8,180.4,85.5,31
2023-06-27 15:26:47.712424,12.8,180.4,85.5,31
2023-06-27 15:26:49.712258,12.8,180.4,85.5,31
2023-06-27 15:26:51.712146,12.8,180.4,85.5,31
2023-06-27 15:26:53.711910,12.8,180.4,85.5,31
2023-06-27 15:26:55.711743,12.8,180.4,85.5,31
2023-06-27 15:26:57.711603,12.8,180.4,85.5,31
2023-06-27 15:26:59.711465,12.8,180.4,85.5,31
2023-06-27 15:27:01.711332,12.8,180.4,85.5,31
2023-06-27 15:27:03.711224,12.8,180.4,85.5,31
2023-06-27 15:27:05.711107,12.8,180.3,85.5,31
2023-06-27 15:27:07.711002,12.8,180.3,85.5,31
2023-06-27 15:27:09.710904,12.8,180.3,85.5,31
2023-06-27 15:27:11.710885,12.8,180.3,85.5,31
2023-06-27 15:27:13.710628,12.8,180.3,85.5,31
2023-06-27 15:27:15.710715,12.8,180.3,85.5,31
2023-06-27 15:27:17.710557,12.8,180.3,85.5,31
2023-06-27 15:27:19.710544,12.8,180.3,85.5,31
2023-06-27 15:27:21.710406,12.8,180.3,85.5,31
2023-06-27 15:27:23.710317,12.8,180.3,85.5,31
2023-06-27 15:27:25.710245,12.8,180.20000000000002,85.5,31
2023-06-27 15:27:27.710172,12.8,180.20000000000002,85.5,31
2023-06-27 15:27:29.710187,12.8,180.20000000000002,85.5,31
2023-06-27 15:27:31.710037,12.8,180.20000000000002,85.5,31
2023-06-27 15:27:33.709972,12.8,180.20000000000002,85.5,31
2023-06-27 15:27:35.709524,12.8,180.20000000000002,85.5,31
2023-06-27 15:27:37.709832,12.8,180.20000000000002,85.5,31
2023-06-27 15:27:39.709676,12.8,180.20000000000002,85.5,31
2023-06-27 15:27:41.709802,12.8,180.20000000000002,85.5,31
2023-06-27 15:27:43.709639,12.8,180.20000000000002,85.5,31
2023-06-27 15:27:45.709577,12.8,180.20000000000002,85.5,31
2023-06-27 15:27:47.709521,12.8,180.20000000000002,85.5,32
2023-06-27 15:27:49.709456,12.8,180.20000000000002,85.5,32
2023-06-27 15:27:51.709451,12.9,180.20000000000002,85.5,32
2023-06-27 15:27:53.709329,12.8,180.20000000000002,85.5,32
2023-06-27 15:27:55.709357,12.8,180.20000000000002,85.5,32
2023-06-27 15:27:57.709212,12.8,180.20000000000002,85.5,32
2023-06-27 15:27:59.709151,12.8,180.20000000000002,85.5,32
2023-06-27 15:28:01.709090,12.8,180.20000000000002,85.5,32
2023-06-27 15:28:03.709031,12.8,180.20000000000002,85.5,32
2023-06-27 15:28:05.708866,12.8,180.10000000000002,85.5,32
2023-06-27 15:28:07.708999,12.8,180.10000000000002,85.5,32
2023-06-27 15:28:09.708840,12.8,180.10000000000002,85.5,32
2023-06-27 15:28:11.708109,12.8,180.10000000000002,85.5,32
2023-06-27 15:28:13.707190,12.8,180.10000000000002,85.5,32
2023-06-27 15:28:15.706363,12.8,180.10000000000002,85.5,32
2023-06-27 15:28:17.705598,12.8,180.10000000000002,85.5,32
2023-06-27 15:28:19.704921,12.8,180.10000000000002,85.5,32
2023-06-27 15:28:21.704152,12.8,180.10000000000002,85.5,32
2023-06-27 15:28:23.703487,12.8,180.10000000000002,85.5,32
2023-06-27 15:28:25.702941,12.8,180.10000000000002,85.5,32
