datetime,rear_motor_rpm,front_motor_rpm
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:48,0,0
2023-07-06 03:44:49,0,0
2023-07-06 03:44:49,0,0
2023-07-06 03:44:49,0,0
2023-07-06 03:44:49,0,0
2023-07-06 03:44:49,0,0
2023-07-06 03:44:49,0,0
2023-07-06 03:44:49,0,0
2023-07-06 03:44:49,0,0
2023-07-06 03:44:49,0,0
2023-07-06 03:44:49,0,0
2023-07-06 03:44:49,0,0
2023-07-06 03:44:49,0,0
2023-07-06 03:44:49,0,0
2023-07-06 03:44:49,0,0
2023-07-06 03:44:49,0,0
2023-07-06 03:44:49,0,0
2023-07-06 03:44:49,0,0
2023-07-06 03:44:49,0,0
2023-07-06 03:44:49,0,0
2023-07-06 03:44:49,0,0
