datetime,BMS Temp,BatteryAdaptiveSOC,BatteryAdaptiveAmphours,AuxilaryBatteryVoltage
2023-06-27 15:23:21.548595,31,85.5,180.4,12.8
2023-06-27 15:23:23.548559,31,85.5,180.4,12.8
2023-06-27 15:23:25.548589,31,85.5,180.4,12.8
2023-06-27 15:23:27.548548,31,85.5,180.4,12.8
2023-06-27 15:23:29.548593,31,85.5,180.4,12.8
2023-06-27 15:23:31.548462,31,85.5,180.4,12.9
2023-06-27 15:23:33.548413,31,85.5,180.4,12.8
2023-06-27 15:23:35.548309,31,85.5,180.4,12.8
2023-06-27 15:23:37.548242,31,85.5,180.4,12.8
2023-06-27 15:23:39.548231,31,85.5,180.4,12.8
2023-06-27 15:23:41.548186,31,85.5,180.4,12.9
2023-06-27 15:23:43.548044,31,85.5,180.4,12.8
2023-06-27 15:23:45.548041,31,85.5,180.4,12.9
2023-06-27 15:23:47.547537,31,85.5,180.4,12.8
2023-06-27 15:23:49.547835,31,85.5,180.4,12.8
2023-06-27 15:23:51.547801,31,85.5,180.4,12.8
2023-06-27 15:23:53.547809,31,85.5,180.4,12.8
2023-06-27 15:26:01.715696,31,85.5,180.4,12.8
2023-06-27 15:26:03.715651,31,85.5,180.4,12.8
2023-06-27 15:26:05.715642,31,85.5,180.4,12.8
2023-06-27 15:26:07.715578,31,85.5,180.4,12.9
2023-06-27 15:26:09.715446,31,85.5,180.4,12.8
2023-06-27 15:26:11.715461,31,85.5,180.4,12.8
2023-06-27 15:26:13.715328,31,85.5,180.4,12.8
2023-06-27 15:26:15.715266,31,85.5,180.4,12.8
2023-06-27 15:26:17.715287,31,85.5,180.4,12.8
2023-06-27 15:26:19.715148,31,85.5,180.4,12.8
2023-06-27 15:26:21.714991,31,85.5,180.4,12.8
2023-06-27 15:26:23.715112,31,85.5,180.4,12.8
2023-06-27 15:26:25.715035,31,85.5,180.4,12.8
2023-06-27 15:26:27.714910,31,85.5,180.4,12.8
2023-06-27 15:26:29.714843,31,85.5,180.4,12.8
2023-06-27 15:26:31.714854,31,85.5,180.4,12.8
2023-06-27 15:26:33.714594,31,85.5,180.4,12.8
2023-06-27 15:26:35.714258,31,85.5,180.4,12.8
2023-06-27 15:26:37.713896,31,85.5,180.4,12.8
2023-06-27 15:26:39.713485,31,85.5,180.4,12.8
2023-06-27 15:26:41.713259,31,85.5,180.4,12.9
2023-06-27 15:26:43.712920,31,85.5,180.4,12.8
2023-06-27 15:26:45.712796,31,85.5,180.4,12.8
2023-06-27 15:26:47.712424,31,85.5,180.4,12.8
2023-06-27 15:26:49.712258,31,85.5,180.4,12.8
2023-06-27 15:26:51.712146,31,85.5,180.4,12.8
2023-06-27 15:26:53.711910,31,85.5,180.4,12.8
2023-06-27 15:26:55.711743,31,85.5,180.4,12.8
2023-06-27 15:26:57.711603,31,85.5,180.4,12.8
2023-06-27 15:26:59.711465,31,85.5,180.4,12.8
2023-06-27 15:27:01.711332,31,85.5,180.4,12.8
2023-06-27 15:27:03.711224,31,85.5,180.4,12.8
2023-06-27 15:27:05.711107,31,85.5,180.3,12.8
2023-06-27 15:27:07.711002,31,85.5,180.3,12.8
2023-06-27 15:27:09.710904,31,85.5,180.3,12.8
2023-06-27 15:27:11.710885,31,85.5,180.3,12.8
2023-06-27 15:27:13.710628,31,85.5,180.3,12.8
2023-06-27 15:27:15.710715,31,85.5,180.3,12.8
2023-06-27 15:27:17.710557,31,85.5,180.3,12.8
2023-06-27 15:27:19.710544,31,85.5,180.3,12.8
2023-06-27 15:27:21.710406,31,85.5,180.3,12.8
2023-06-27 15:27:23.710317,31,85.5,180.3,12.8
2023-06-27 15:27:25.710245,31,85.5,180.20000000000002,12.8
2023-06-27 15:27:27.710172,31,85.5,180.20000000000002,12.8
2023-06-27 15:27:29.710187,31,85.5,180.20000000000002,12.8
2023-06-27 15:27:31.710037,31,85.5,180.20000000000002,12.8
2023-06-27 15:27:33.709972,31,85.5,180.20000000000002,12.8
2023-06-27 15:27:35.709524,31,85.5,180.20000000000002,12.8
2023-06-27 15:27:37.709832,31,85.5,180.20000000000002,12.8
2023-06-27 15:27:39.709676,31,85.5,180.20000000000002,12.8
2023-06-27 15:27:41.709802,31,85.5,180.20000000000002,12.8
2023-06-27 15:27:43.709639,31,85.5,180.20000000000002,12.8
2023-06-27 15:27:45.709577,31,85.5,180.20000000000002,12.8
2023-06-27 15:27:47.709521,32,85.5,180.20000000000002,12.8
2023-06-27 15:27:49.709456,32,85.5,180.20000000000002,12.8
2023-06-27 15:27:51.709451,32,85.5,180.20000000000002,12.9
2023-06-27 15:27:53.709329,32,85.5,180.20000000000002,12.8
2023-06-27 15:27:55.709357,32,85.5,180.20000000000002,12.8
2023-06-27 15:27:57.709212,32,85.5,180.20000000000002,12.8
2023-06-27 15:27:59.709151,32,85.5,180.20000000000002,12.8
2023-06-27 15:28:01.709090,32,85.5,180.20000000000002,12.8
2023-06-27 15:28:03.709031,32,85.5,180.20000000000002,12.8
2023-06-27 15:28:05.708866,32,85.5,180.10000000000002,12.8
2023-06-27 15:28:07.708999,32,85.5,180.10000000000002,12.8
2023-06-27 15:28:09.708840,32,85.5,180.10000000000002,12.8
2023-06-27 15:28:11.708109,32,85.5,180.10000000000002,12.8
2023-06-27 15:28:13.707190,32,85.5,180.10000000000002,12.8
2023-06-27 15:28:15.706363,32,85.5,180.10000000000002,12.8
2023-06-27 15:28:17.705598,32,85.5,180.10000000000002,12.8
2023-06-27 15:28:19.704921,32,85.5,180.10000000000002,12.8
2023-06-27 15:28:21.704152,32,85.5,180.10000000000002,12.8
2023-06-27 15:28:23.703487,32,85.5,180.10000000000002,12.8
2023-06-27 15:28:25.702941,32,85.5,180.10000000000002,12.8
2023-06-27 15:28:27.702245,32,85.5,180.10000000000002,12.8
2023-06-27 15:28:29.701667,32,85.5,180.10000000000002,12.8
2023-06-27 15:28:31.701022,32,85.5,180.10000000000002,12.8
2023-06-27 15:28:33.700591,32,85.5,180.10000000000002,12.8
2023-06-27 15:28:35.700088,32,85.5,180.0,12.8
2023-06-27 15:28:37.699600,32,85.5,180.0,12.8
2023-06-27 15:28:39.699159,32,85.5,180.0,12.8
2023-06-27 15:28:41.698696,32,85.5,180.0,12.8
2023-06-27 15:28:43.698269,32,85.5,180.0,12.8
2023-06-27 15:28:45.697873,32,85.5,180.0,12.8
2023-06-27 15:28:47.697486,32,85.5,179.9,12.8
2023-06-27 15:28:49.697104,32,85.5,179.9,12.8
2023-06-27 15:28:51.696746,32,85.5,179.9,12.8
2023-06-27 15:28:53.696390,32,85.5,179.9,12.9
2023-06-27 15:28:55.696111,32,85.5,179.9,12.9
2023-06-27 15:28:57.695710,32,85.5,179.9,12.8
2023-06-27 15:28:59.695475,32,85.5,179.9,12.8
2023-06-27 15:29:01.695100,32,85.5,179.9,12.8
2023-06-27 15:29:03.694869,32,85.5,179.9,12.8
2023-06-27 15:29:05.694511,32,85.5,179.9,12.8
2023-06-27 15:29:07.694232,32,85.5,179.9,12.8
2023-06-27 15:29:09.693961,32,85.5,179.9,12.8
2023-06-27 15:29:11.693763,32,85.5,179.9,12.8
2023-06-27 15:29:13.693457,32,85.5,179.9,12.8
2023-06-27 15:29:15.693195,32,85.5,179.9,12.8
2023-06-27 15:29:17.693009,32,85.5,179.9,12.8
2023-06-27 15:29:19.692708,32,85.5,179.9,12.8
2023-06-27 15:29:21.692462,32,85.5,179.9,12.8
2023-06-27 15:29:23.692140,32,85.5,179.9,12.8
2023-06-27 15:29:25.692009,32,85.5,179.9,12.8
2023-06-27 15:29:27.691794,32,85.5,179.9,12.8
2023-06-27 15:29:29.691574,32,85.5,179.9,12.8
2023-06-27 15:29:31.691472,32,85.5,179.9,12.8
2023-06-27 15:29:33.691220,32,85.5,179.9,12.8
2023-06-27 15:29:35.690945,32,85.5,179.9,12.8
2023-06-27 15:29:37.690742,32,85.5,179.9,12.8
2023-06-27 15:29:39.690554,32,85.5,179.9,12.8
2023-06-27 15:29:41.690354,32,85.5,179.9,12.8
2023-06-27 15:29:43.690218,32,85.5,179.9,12.9
2023-06-27 15:29:45.689962,32,85.5,179.9,12.8
2023-06-27 15:29:47.689839,32,85.5,179.9,12.8
2023-06-27 15:29:49.689562,32,85.5,179.9,12.8
2023-06-27 15:29:51.689409,32,85.5,179.9,12.8
2023-06-27 15:29:53.689221,32,85.5,179.9,12.8
2023-06-27 15:29:55.689106,32,85.5,179.9,12.8
2023-06-27 15:29:57.688879,32,85.5,179.9,12.8
2023-06-27 15:29:59.688682,32,85.5,179.9,12.8
2023-06-27 15:30:01.688572,32,85.5,179.9,12.8
2023-06-27 15:30:03.686561,32,85.5,179.9,12.8
2023-06-27 15:30:05.688157,32,85.5,179.9,12.8
2023-06-27 15:30:07.687982,32,85.5,179.9,12.8
2023-06-27 15:30:09.687819,32,85.5,179.9,12.8
2023-06-27 15:30:11.687737,32,85.5,179.9,12.8
2023-06-27 15:30:13.687473,32,85.5,179.9,12.8
2023-06-27 15:30:15.687220,32,85.5,179.9,12.8
2023-06-27 15:30:17.687138,32,85.5,179.9,12.8
2023-06-27 15:30:19.687060,32,85.5,179.9,12.8
2023-06-27 15:30:21.686815,32,85.5,179.9,12.8
2023-06-27 15:30:23.686717,32,85.5,179.9,12.8
2023-06-27 15:30:25.686491,32,85.5,179.9,12.8
2023-06-27 15:30:27.686010,32,85.5,179.9,12.8
2023-06-27 15:30:29.686167,32,85.5,179.9,12.8
2023-06-27 15:30:31.686066,32,85.5,179.9,12.8
2023-06-27 15:30:33.685832,32,85.5,179.9,12.8
2023-06-27 15:30:35.685672,32,85.5,179.9,12.8
2023-06-27 15:30:37.685576,32,85.5,179.9,12.8
2023-06-27 15:30:39.685411,32,85.5,179.9,12.9
2023-06-27 15:30:41.685162,32,85.5,179.9,12.8
2023-06-27 15:30:43.685037,32,85.5,179.9,12.8
2023-06-27 15:30:45.684885,32,85.5,179.9,12.8
2023-06-27 15:30:47.684782,32,85.5,179.9,12.8
2023-06-27 15:30:49.684640,32,85.5,179.9,12.8
2023-06-27 15:30:51.684484,32,85.5,179.9,12.8
2023-06-27 15:30:53.684242,32,85.5,179.9,12.8
2023-06-27 15:30:55.684090,32,85.5,179.9,12.8
2023-06-27 15:30:57.683937,32,85.5,179.9,12.8
2023-06-27 15:30:59.683847,32,85.5,179.9,12.8
2023-06-27 15:31:01.683640,32,85.5,179.9,12.8
2023-06-27 15:31:03.683464,32,85.5,179.9,12.8
2023-06-27 15:31:05.683380,32,85.5,179.9,12.8
2023-06-27 15:31:07.683127,32,85.5,179.9,12.8
2023-06-27 15:31:09.682998,32,85.5,179.9,12.8
2023-06-27 15:31:11.682906,32,85.5,179.9,12.8
2023-06-27 15:31:13.682685,32,85.5,179.9,12.8
2023-06-27 15:31:15.682595,32,85.5,179.9,12.8
2023-06-27 15:31:17.682445,32,85.5,179.9,12.8
2023-06-27 15:31:19.682220,32,85.5,179.9,12.8
2023-06-27 15:31:21.682132,32,85.5,179.9,12.8
2023-06-27 15:31:23.681911,32,85.5,179.9,12.8
2023-06-27 15:31:25.681754,32,85.5,179.9,12.8
2023-06-27 15:31:27.681668,32,85.5,179.9,12.8
2023-06-27 15:31:29.681455,32,85.5,179.9,12.8
2023-06-27 15:31:31.681367,32,85.5,179.9,12.8
2023-06-27 15:31:33.681044,32,85.5,179.9,12.8
2023-06-27 15:31:35.681058,32,85.5,179.9,12.8
