datetime,Battery SOC,Battery Amphour,Battery Average Temp,Battery Current
2023-06-27 15:23:21.549055,85.5,180.4,25,90.94285714285715
2023-06-27 15:23:23.549016,85.5,180.4,25,91.08416666666668
2023-06-27 15:23:25.546815,85.5,180.4,25,90.93781512605042
2023-06-27 15:23:27.546753,85.5,180.4,25,90.18416666666667
2023-06-27 15:23:29.546763,85.5,180.4,25,90.92773109243697
2023-06-27 15:23:31.546691,85.5,180.4,25,90.92773109243697
2023-06-27 15:23:33.546634,85.5,180.4,25,90.92773109243697
2023-06-27 15:23:35.546507,85.5,180.4,25,90.92773109243697
2023-06-27 15:23:37.546446,85.5,180.4,25,90.18416666666667
2023-06-27 15:23:39.546448,85.5,180.4,25,90.92773109243697
2023-06-27 15:23:41.546390,85.5,180.4,25,90.92773109243697
2023-06-27 15:23:43.546261,85.5,180.4,25,90.92773109243697
2023-06-27 15:23:45.546267,85.5,180.4,25,90.18333333333334
2023-06-27 15:23:47.546173,85.5,180.4,25,90.92773109243697
2023-06-27 15:23:49.548302,85.5,180.4,25,90.92773109243697
2023-06-27 15:23:51.546028,85.5,180.4,25,90.92773109243697
2023-06-27 15:23:53.546027,85.5,180.4,25,88.21481481481482
2023-06-27 15:26:01.713912,85.5,180.4,25,91.06916666666667
2023-06-27 15:26:03.713856,85.5,180.4,25,90.92773109243697
2023-06-27 15:26:05.713855,85.5,180.4,25,90.18333333333334
2023-06-27 15:26:07.713804,85.5,180.4,25,90.92773109243697
2023-06-27 15:26:09.713666,85.5,180.4,25,90.92773109243697
2023-06-27 15:26:11.713682,85.5,180.4,25,90.92773109243697
2023-06-27 15:26:13.713551,85.5,180.4,25,90.18416666666667
2023-06-27 15:26:15.713498,85.5,180.4,25,90.92773109243697
2023-06-27 15:26:17.713504,85.5,180.4,25,90.92773109243697
2023-06-27 15:26:19.713369,85.5,180.4,25,90.92773109243697
2023-06-27 15:26:21.715451,85.5,180.4,25,90.92773109243697
2023-06-27 15:26:23.713314,85.5,180.4,25,90.18333333333334
2023-06-27 15:26:25.713252,85.5,180.4,25,90.92773109243697
2023-06-27 15:26:27.713127,85.5,180.4,25,90.78389830508475
2023-06-27 15:26:29.713069,85.5,180.4,25,90.92773109243697
2023-06-27 15:26:31.713093,85.5,180.4,25,90.18333333333334
2023-06-27 15:26:33.712813,85.5,180.4,25,91.06916666666667
2023-06-27 15:26:35.712478,85.5,180.4,25,90.92773109243697
2023-06-27 15:26:37.712102,85.5,180.4,25,90.92773109243697
2023-06-27 15:26:39.711703,85.5,180.4,25,90.18333333333334
2023-06-27 15:26:41.711488,85.5,180.4,25,90.92773109243697
2023-06-27 15:26:43.711135,85.5,180.4,25,90.92773109243697
2023-06-27 15:26:45.710967,85.5,180.4,25,90.92773109243697
2023-06-27 15:26:47.712883,85.5,180.4,25,90.18333333333334
2023-06-27 15:26:49.710476,85.5,180.4,25,90.92773109243697
2023-06-27 15:26:51.710350,85.5,180.4,25,90.92773109243697
2023-06-27 15:26:53.710123,85.5,180.4,25,90.92773109243697
2023-06-27 15:26:55.709959,85.5,180.4,25,107.2873949579832
2023-06-27 15:26:57.709838,85.5,180.4,25,169.455
2023-06-27 15:26:59.709677,85.5,180.4,25,196.4109243697479
2023-06-27 15:27:01.709553,85.5,180.4,25,191.11596638655462
2023-06-27 15:27:03.709456,85.5,180.4,25,184.82436974789917
2023-06-27 15:27:05.709330,85.5,180.3,25,182.25500000000002
2023-06-27 15:27:07.709218,85.5,180.3,25,179.0386554621849
2023-06-27 15:27:09.709121,85.5,180.3,25,184.38487394957983
2023-06-27 15:27:11.709105,85.5,180.3,25,179.61932773109245
2023-06-27 15:27:13.711093,85.5,180.3,25,178.10416666666666
2023-06-27 15:27:15.708937,85.5,180.3,25,181.9890756302521
2023-06-27 15:27:17.708793,85.5,180.3,25,184.52436974789916
2023-06-27 15:27:19.708782,85.5,180.3,25,188.38487394957983
2023-06-27 15:27:21.708610,85.5,180.3,25,180.7621848739496
2023-06-27 15:27:23.708538,85.5,180.3,25,188.8925
2023-06-27 15:27:25.708462,85.5,180.20000000000002,25,184.20420168067227
2023-06-27 15:27:27.708387,85.5,180.20000000000002,25,178.81512605042016
2023-06-27 15:27:29.708403,85.5,180.20000000000002,25,94.16806722689076
2023-06-27 15:27:31.708275,85.5,180.20000000000002,25,90.18333333333334
2023-06-27 15:27:33.708182,85.5,180.20000000000002,25,90.92689075630253
2023-06-27 15:27:35.708144,85.5,180.20000000000002,25,91.06916666666667
2023-06-27 15:27:37.708056,85.5,180.20000000000002,25,90.92689075630253
2023-06-27 15:27:39.710136,85.5,180.20000000000002,25,177.91333333333336
2023-06-27 15:27:41.707991,85.5,180.20000000000002,25,181.75042016806725
2023-06-27 15:27:43.707872,85.5,180.20000000000002,25,179.14117647058822
2023-06-27 15:27:45.707798,85.5,180.20000000000002,25,181.78151260504202
2023-06-27 15:27:47.707742,85.5,180.20000000000002,25,181.48655462184874
2023-06-27 15:27:49.707670,85.5,180.20000000000002,25,182.8466666666667
2023-06-27 15:27:51.707678,85.5,180.20000000000002,25,183.47563025210087
2023-06-27 15:27:53.707546,85.5,180.20000000000002,25,183.57310924369747
2023-06-27 15:27:55.707567,85.5,180.20000000000002,25,180.6747899159664
2023-06-27 15:27:57.707423,85.5,180.20000000000002,25,181.75833333333333
2023-06-27 15:27:59.707367,85.5,180.20000000000002,25,184.7655462184874
2023-06-27 15:28:01.707308,85.5,180.20000000000002,25,180.66806722689077
2023-06-27 15:28:03.707332,85.5,180.20000000000002,25,184.41260504201682
2023-06-27 15:28:05.709326,85.5,180.10000000000002,25,186.07666666666668
2023-06-27 15:28:07.707120,85.5,180.10000000000002,25,185.25882352941176
2023-06-27 15:28:09.707046,85.5,180.10000000000002,25,187.3
2023-06-27 15:28:11.706327,85.5,180.10000000000002,25,179.9218487394958
2023-06-27 15:28:13.705397,85.5,180.10000000000002,25,180.6478991596639
2023-06-27 15:28:15.704582,85.5,180.10000000000002,25,191.3375
2023-06-27 15:28:17.703808,85.5,180.10000000000002,25,188.7816666666667
2023-06-27 15:28:19.703182,85.5,180.10000000000002,25,188.4823529411765
2023-06-27 15:28:21.702369,85.5,180.10000000000002,25,183.427731092437
2023-06-27 15:28:23.701719,85.5,180.10000000000002,25,181.31666666666666
2023-06-27 15:28:25.701150,85.5,180.10000000000002,25,188.41008403361343
2023-06-27 15:28:27.700463,85.5,180.10000000000002,25,184.66470588235296
2023-06-27 15:28:29.699885,85.5,180.10000000000002,25,183.50168067226892
2023-06-27 15:28:31.701481,85.5,180.10000000000002,25,183.46916666666667
2023-06-27 15:28:33.698807,85.5,180.10000000000002,25,183.05378151260504
2023-06-27 15:28:35.698304,85.5,180.0,25,183.76806722689076
2023-06-27 15:28:37.697823,85.5,180.0,25,188.2655462184874
2023-06-27 15:28:39.697373,85.5,180.0,25,181.68166666666667
2023-06-27 15:28:41.696917,85.5,180.0,25,180.4033613445378
2023-06-27 15:28:43.696491,85.5,180.0,25,186.24957983193278
2023-06-27 15:28:45.696100,85.5,180.0,25,187.98067226890757
2023-06-27 15:28:47.695702,85.5,179.9,25,194.65083333333334
2023-06-27 15:28:49.695317,85.5,179.9,25,188.26302521008404
2023-06-27 15:28:51.694959,85.5,179.9,25,180.37394957983193
2023-06-27 15:28:53.694604,85.5,179.9,25,192.51008403361345
2023-06-27 15:28:55.694328,85.5,179.9,25,198.5235294117647
2023-06-27 15:28:57.696174,85.5,179.9,25,116.15371900826446
2023-06-27 15:28:59.693682,85.5,179.9,25,90.92773109243697
2023-06-27 15:29:01.693337,85.5,179.9,25,112.23865546218488
2023-06-27 15:29:03.693086,85.5,179.9,25,90.92773109243697
2023-06-27 15:29:05.692727,85.5,179.9,25,90.18333333333334
2023-06-27 15:29:07.692439,85.5,179.9,25,90.92773109243697
2023-06-27 15:29:09.692167,85.5,179.9,25,111.59243697478992
2023-06-27 15:29:11.691977,85.5,179.9,25,90.7813559322034
2023-06-27 15:29:13.691654,85.5,179.9,25,90.1675
2023-06-27 15:29:15.691395,85.5,179.9,25,90.9126050420168
2023-06-27 15:29:17.691219,85.5,179.9,25,90.91176470588235
2023-06-27 15:29:19.690928,85.5,179.9,25,90.91344537815127
2023-06-27 15:29:21.690677,85.5,179.9,25,90.91176470588235
2023-06-27 15:29:23.692600,85.5,179.9,25,90.16666666666667
2023-06-27 15:29:25.690224,85.5,179.9,25,90.91344537815127
2023-06-27 15:29:27.690002,85.5,179.9,25,90.91176470588235
2023-06-27 15:29:29.689783,85.5,179.9,25,90.91176470588235
2023-06-27 15:29:31.689654,85.5,179.9,25,90.1675
2023-06-27 15:29:33.689447,85.5,179.9,25,90.91176470588235
2023-06-27 15:29:35.689151,85.5,179.9,25,90.91176470588235
2023-06-27 15:29:37.688953,85.5,179.9,25,90.9126050420168
2023-06-27 15:29:39.688773,85.5,179.9,25,90.31322314049588
2023-06-27 15:29:41.688565,85.5,179.9,25,90.91176470588235
2023-06-27 15:29:43.688461,85.5,179.9,25,90.9126050420168
2023-06-27 15:29:45.688189,85.5,179.9,25,90.91176470588235
2023-06-27 15:29:47.688052,85.5,179.9,25,90.16666666666667
2023-06-27 15:29:49.690026,85.5,179.9,25,90.91176470588235
2023-06-27 15:29:51.687619,85.5,179.9,25,90.91176470588235
2023-06-27 15:29:53.687429,85.5,179.9,25,90.91176470588235
2023-06-27 15:29:55.687322,85.5,179.9,25,90.91176470588235
2023-06-27 15:29:57.687089,85.5,179.9,25,90.16666666666667
2023-06-27 15:29:59.686895,85.5,179.9,25,90.91176470588235
2023-06-27 15:30:01.686787,85.5,179.9,25,90.91176470588235
2023-06-27 15:30:03.687985,85.5,179.9,25,90.9126050420168
2023-06-27 15:30:05.686372,85.5,179.9,25,90.16666666666667
2023-06-27 15:30:07.686190,85.5,179.9,25,90.91176470588235
2023-06-27 15:30:09.686033,85.5,179.9,25,90.91344537815127
2023-06-27 15:30:11.685934,85.5,179.9,25,92.6436974789916
2023-06-27 15:30:13.685697,85.5,179.9,25,90.16666666666667
2023-06-27 15:30:15.687691,85.5,179.9,25,90.91176470588235
2023-06-27 15:30:17.685363,85.5,179.9,25,90.91176470588235
2023-06-27 15:30:19.685303,85.5,179.9,25,90.91176470588235
2023-06-27 15:30:21.685031,85.5,179.9,25,90.91176470588235
2023-06-27 15:30:23.684941,85.5,179.9,25,90.16666666666667
2023-06-27 15:30:25.684699,85.5,179.9,25,90.91176470588235
2023-06-27 15:30:27.686470,85.5,179.9,25,90.91176470588235
2023-06-27 15:30:29.684417,85.5,179.9,25,90.91176470588235
2023-06-27 15:30:31.684279,85.5,179.9,25,90.31652892561985
2023-06-27 15:30:33.684044,85.5,179.9,25,90.91176470588235
2023-06-27 15:30:35.683911,85.5,179.9,25,90.91176470588235
2023-06-27 15:30:37.683787,85.5,179.9,25,90.9126050420168
2023-06-27 15:30:39.683647,85.5,179.9,25,90.16666666666667
2023-06-27 15:30:41.685579,85.5,179.9,25,90.91176470588235
2023-06-27 15:30:43.683294,85.5,179.9,25,90.9126050420168
2023-06-27 15:30:45.683125,85.5,179.9,25,90.91176470588235
2023-06-27 15:30:47.682996,85.5,179.9,25,90.91176470588235
2023-06-27 15:30:49.682866,85.5,179.9,25,90.16666666666667
2023-06-27 15:30:51.682756,85.5,179.9,25,90.91176470588235
2023-06-27 15:30:53.682464,85.5,179.9,25,90.91176470588235
2023-06-27 15:30:55.682330,85.5,179.9,25,90.91344537815127
2023-06-27 15:30:57.682185,85.5,179.9,25,90.16666666666667
2023-06-27 15:30:59.682058,85.5,179.9,25,90.9126050420168
2023-06-27 15:31:01.681837,85.5,179.9,25,90.9126050420168
2023-06-27 15:31:03.681696,85.5,179.9,25,90.91176470588235
2023-06-27 15:31:05.681619,85.5,179.9,25,90.1675
2023-06-27 15:31:07.683591,85.5,179.9,25,90.9126050420168
2023-06-27 15:31:09.681206,85.5,179.9,25,90.91176470588235
2023-06-27 15:31:11.681129,85.5,179.9,25,90.9126050420168
2023-06-27 15:31:13.680897,85.5,179.9,25,91.05333333333334
2023-06-27 15:31:15.680887,85.5,179.9,25,90.1675
2023-06-27 15:31:17.680649,85.5,179.9,25,90.91680672268907
2023-06-27 15:31:19.680425,85.5,179.9,25,109.63949579831933
2023-06-27 15:31:21.680344,85.5,179.9,25,90.9126050420168
2023-06-27 15:31:23.680136,85.5,179.9,25,90.1675
2023-06-27 15:31:25.679963,85.5,179.9,25,90.9126050420168
2023-06-27 15:31:27.679883,85.5,179.9,25,90.91176470588235
2023-06-27 15:31:29.679654,85.5,179.9,25,90.9126050420168
2023-06-27 15:31:31.679569,85.5,179.9,25,90.16666666666667
2023-06-27 15:31:33.681507,85.5,179.9,25,90.91176470588235
2023-06-27 15:31:35.679266,85.5,179.9,25,90.91176470588235
2023-06-27 15:31:37.679039,85.5,179.9,25,90.91428571428573
2023-06-27 15:31:39.678991,85.5,179.9,25,90.16666666666667
2023-06-27 15:31:41.678729,85.5,179.9,25,90.91176470588235
2023-06-27 15:31:43.678577,85.5,179.9,25,90.9126050420168
2023-06-27 15:31:45.678424,85.5,179.9,25,90.91176470588235
2023-06-27 15:31:47.678289,85.5,179.9,25,90.91764705882353
2023-06-27 15:31:49.678114,85.5,179.9,25,90.1675
2023-06-27 15:31:51.677972,85.5,179.9,25,90.91344537815127
2023-06-27 15:31:53.677882,85.5,179.9,25,90.9126050420168
2023-06-27 15:31:55.677664,85.5,179.9,25,90.91176470588235
2023-06-27 15:31:57.677581,85.5,179.9,25,90.17833333333333
2023-06-27 15:31:59.679503,85.5,179.9,25,162.2764705882353
2023-06-27 15:32:01.677274,85.5,179.9,25,179.8747899159664
2023-06-27 15:32:03.677048,85.5,179.9,25,180.86974789915968
2023-06-27 15:32:05.676961,85.5,179.9,25,176.03000000000003
2023-06-27 15:32:07.676831,85.5,179.8,25,177.6840336134454
2023-06-27 15:32:09.676589,85.5,179.8,25,188.51680672268907
2023-06-27 15:32:11.676436,85.5,179.8,25,183.7228813559322
2023-06-27 15:32:13.676286,85.5,179.8,25,181.38474576271187
2023-06-27 15:32:15.676202,85.5,179.8,25,191.31583333333336
