name,time,city,controller_temp,country,distance_travelled,drive_direction,motor_temp,seat_switch,state,vehicle_id,zipcode
controller_motor_status,2023-05-02T16:07:31.558Z,Tulare,28,USA,64.86328,0,30,false,CA,mbx002vwbmz22003,95138
controller_motor_status,2023-05-02T16:07:32.504Z,Tulare,28,USA,64.86328,0,30,false,CA,mbx002vwbmz22003,95138
controller_motor_status,2023-05-02T16:07:32.54Z,Tulare,28,USA,64.86328,0,30,false,CA,mbx002vwbmz22003,95138
controller_motor_status,2023-05-02T16:07:33.513Z,Tulare,28,USA,64.86328,0,30,false,CA,mbx002vwbmz22003,95138
controller_motor_status,2023-05-02T16:07:33.515Z,Tulare,28,USA,64.86328,0,30,false,CA,mbx002vwbmz22003,95138
controller_motor_status,2023-05-02T16:07:34.509Z,Tulare,28,USA,64.86328,0,30,false,CA,mbx002vwbmz22003,95138
controller_motor_status,2023-05-02T16:07:34.565Z,Tulare,28,USA,64.86328,0,30,false,CA,mbx002vwbmz22003,95138
controller_motor_status,2023-05-02T16:07:35.51Z,Tulare,28,USA,64.86328,0,30,false,CA,mbx002vwbmz22003,95138
controller_motor_status,2023-05-02T16:07:35.562Z,Tulare,28,USA,64.86328,0,30,false,CA,mbx002vwbmz22003,95138
controller_motor_status,2023-05-02T16:07:36.511Z,Tulare,28,USA,64.86328,0,30,false,CA,mbx002vwbmz22003,95138
controller_motor_status,2023-05-02T16:07:36.578Z,Tulare,28,USA,64.86328,0,30,false,CA,mbx002vwbmz22003,95138
controller_motor_status,2023-05-02T16:07:37.512Z,Tulare,28,USA,64.86328,0,30,false,CA,mbx002vwbmz22003,95138
controller_motor_status,2023-05-02T16:07:37.516Z,Tulare,28,USA,64.86328,0,30,false,CA,mbx002vwbmz22003,95138
controller_motor_status,2023-05-02T16:07:38.515Z,Tulare,28,USA,64.86328,0,30,false,CA,mbx002vwbmz22003,95138
controller_motor_status,2023-05-02T16:07:38.519Z,Tulare,28,USA,64.86328,0,30,false,CA,mbx002vwbmz22003,95138
controller_motor_status,2023-05-02T16:07:39.507Z,Tulare,28,USA,64.86328,0,30,false,CA,mbx002vwbmz22003,95138
controller_motor_status,2023-05-02T16:07:39.513Z,Tulare,28,USA,64.86328,0,30,false,CA,mbx002vwbmz22003,95138
controller_motor_status,2023-05-02T16:07:40.521Z,Tulare,28,USA,64.86328,0,30,false,CA,mbx002vwbmz22003,95138
controller_motor_status,2023-05-02T16:07:40.531Z,Tulare,28,USA,64.86328,0,30,false,CA,mbx002vwbmz22003,95138
controller_motor_status,2023-05-02T16:07:41.504Z,Tulare,28,USA,64.86328,0,30,false,CA,mbx002vwbmz22003,95138
controller_motor_status,2023-05-02T16:07:41.519Z,Tulare,28,USA,64.86328,0,30,false,CA,mbx002vwbmz22003,95138
controller_motor_status,2023-05-02T16:07:42.51Z,Tulare,28,USA,64.86328,0,30,false,CA,mbx002vwbmz22003,95138
controller_motor_status,2023-05-02T16:07:42.529Z,Tulare,28,USA,64.86328,0,30,false,CA,mbx002vwbmz22003,95138
