name,time,average_motor_phase_voltage,average_motor_stator_current,calculated_battery_current,city,controller_capacitor_voltage,country,motor_actual_torque,motor_rpm,propotional_speed_limit,state,target_torque,throttle_input,vehicle_id,zipcode
controller_motor_usage,2023-05-02T16:07:11.711Z,0,0,0,Tulare,99.5,USA,0,0,0,CA,0,1.796875,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:11.714Z,0,0,0,Tulare,99.5,USA,0,0,0,CA,0,1.796875,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:11.813Z,0,0,0,Tulare,99.5,USA,0,0,0,CA,0,1.796875,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:11.821Z,0,0,0,Tulare,99.5625,USA,0,0,0,CA,0,1.796875,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:11.913Z,0,0,0,Tulare,99.5625,USA,0,0,0,CA,0,1.796875,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:11.922Z,0,0,0,Tulare,99.5,USA,0,0,0,CA,0,1.796875,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:12.038Z,0,0,,Tulare,,USA,0,,,CA,0,,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:12.044Z,0,0,0,Tulare,99.5625,USA,0,0,0,CA,0,1.796875,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:12.112Z,0,0,0,Tulare,99.5625,USA,0,0,0,CA,0,1.796875,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:12.115Z,0,0,0,Tulare,99.5,USA,0,0,0,CA,0,1.796875,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:12.212Z,0,0,0,Tulare,99.5,USA,0,0,0,CA,0,1.796875,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:12.228Z,0,0,0,Tulare,99.5625,USA,0,0,0,CA,0,1.796875,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:12.311Z,0,0,0,Tulare,99.5625,USA,0,0,0,CA,0,1.796875,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:12.32Z,0,0,0,Tulare,99.5625,USA,0,0,0,CA,0,1.796875,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:12.419Z,0,0,0,Tulare,99.5625,USA,0,0,0,CA,0,1.796875,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:12.464Z,0,0,0,Tulare,99.5625,USA,0,0,0,CA,0,1.796875,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:12.514Z,0,0,0,Tulare,99.5625,USA,0,0,0,CA,0,1.796875,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:12.558Z,0,0,0,Tulare,99.5,USA,0,0,0,CA,0,1.796875,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:12.634Z,0,0,0,Tulare,99.5,USA,0,0,0,CA,0,1.796875,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:12.647Z,0,0,0,Tulare,99.5,USA,0,0,0,CA,0,1.796875,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:12.721Z,0,0,0,Tulare,99.5,USA,0,0,0,CA,0,1.796875,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:12.738Z,0,0,0,Tulare,99.5,USA,0,0,0,CA,0,1.796875,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:12.814Z,0,0,0,Tulare,99.5,USA,0,0,0,CA,0,1.796875,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:12.836Z,0,0,0,Tulare,99.5,USA,0,0,0,CA,0,1.796875,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:12.91Z,0,0,0,Tulare,99.5,USA,0,0,0,CA,0,1.796875,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:12.943Z,0,0,0,Tulare,99.5625,USA,0,0,0,CA,0,1.796875,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:13.018Z,0,0,0,Tulare,99.5625,USA,0,0,0,CA,0,1.796875,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:13.036Z,0,0,0,Tulare,99.5625,USA,0,0,0,CA,0,1.796875,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:13.112Z,0,0,0,Tulare,99.5625,USA,0,0,0,CA,0,1.796875,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:13.116Z,0,0,0,Tulare,99.5625,USA,0,0,0,CA,0,1.796875,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:13.212Z,0,0,0,Tulare,99.5625,USA,0,0,0,CA,0,1.796875,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:13.214Z,0,0,,Tulare,,USA,0,0,0,CA,0,,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:13.217Z,,,0,Tulare,99.5625,USA,,0,0,CA,,1.796875,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:13.325Z,0,0,0,Tulare,99.5625,USA,0,0,0,CA,0,1.796875,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:13.343Z,0,0,0,Tulare,99.5,USA,0,0,0,CA,0,1.796875,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:13.416Z,0,0,0,Tulare,99.5,USA,0,,,CA,0,1.796875,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:13.42Z,0,0,0,Tulare,99.5,USA,0,0,0,CA,0,1.796875,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:13.512Z,0,0,0,Tulare,99.5,USA,0,0,0,CA,0,1.796875,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:13.514Z,0,0,0,Tulare,99.5625,USA,0,0,0,CA,0,1.796875,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:13.614Z,0,0,0,Tulare,99.5625,USA,0,0,0,CA,0,1.796875,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:13.627Z,0,0,0,Tulare,99.5625,USA,0,0,0,CA,0,1.796875,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:13.709Z,0,0,0,Tulare,99.5625,USA,0,0,0,CA,0,1.796875,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:13.713Z,0,0,,Tulare,,USA,0,0,0,CA,0,,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:13.718Z,,,0,Tulare,99.5,USA,,0,0,CA,,1.796875,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:13.811Z,0,0,0,Tulare,99.5,USA,0,0,0,CA,0,1.796875,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:13.818Z,0,0,0,Tulare,99.5625,USA,0,0,0,CA,0,1.796875,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:13.921Z,0,0,0,Tulare,99.5625,USA,0,0,0,CA,0,1.796875,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:13.923Z,0,0,0,Tulare,99.5625,USA,0,0,0,CA,0,1.796875,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:14.019Z,0,0,0,Tulare,99.5625,USA,0,0,0,CA,0,1.796875,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:14.045Z,0,0,0,Tulare,99.5,USA,0,0,0,CA,0,1.796875,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:14.113Z,0,0,0,Tulare,99.5,USA,0,0,0,CA,0,1.796875,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:14.134Z,0,0,0,Tulare,99.5625,USA,0,0,0,CA,0,1.796875,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:14.217Z,0,0,0,Tulare,99.5625,USA,0,0,0,CA,0,1.796875,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:14.257Z,0,0,0,Tulare,99.5625,USA,0,0,0,CA,0,1.796875,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:14.317Z,0,0,0,Tulare,99.5625,USA,0,0,0,CA,0,1.796875,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:14.341Z,0,0,0,Tulare,99.5,USA,0,0,0,CA,0,1.796875,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:14.418Z,0,0,0,Tulare,99.5,USA,0,0,0,CA,0,1.796875,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:14.445Z,0,0,0,Tulare,99.5,USA,0,0,0,CA,0,1.796875,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:14.528Z,0,0,0,Tulare,99.5,USA,0,0,0,CA,0,1.796875,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:14.541Z,0,0,0,Tulare,99.5,USA,0,0,0,CA,0,1.796875,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:14.623Z,1.5,4,0,Tulare,99.5,USA,0,0,0,CA,119.875,1.796875,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:14.648Z,1.5,4,0,Tulare,99.5,USA,0,0,0,CA,119.875,1.796875,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:14.712Z,0.375,0,0,Tulare,99.5,USA,0,0,0,CA,119.875,1.796875,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:14.716Z,0.375,0,0,Tulare,99.5,USA,0,0,0,CA,119.875,1.796875,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:14.814Z,0.75,0,0,Tulare,99.5,USA,0,0,0,CA,119.875,1.796875,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:14.83Z,0.75,0,0,Tulare,99.5625,USA,0,0,0,CA,119.875,1.796875,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:14.918Z,1.125,0,0,Tulare,99.5625,USA,0,0,0,CA,119.875,1.796875,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:14.932Z,1.125,0,0,Tulare,99.5,USA,0,0,0,CA,119.875,1.796875,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:15.04Z,1.5,4,0,Tulare,99.5,USA,0,0,0,CA,119.875,1.796875,mbx002vwbmz22003,95138
controller_motor_usage,2023-05-02T16:07:15.053Z,1.5,4,0,Tulare,99.5,USA,0,0,0,CA,119.875,1.796875,mbx002vwbmz22003,95138
