name,time,chrgr_communication_error_status,chrgr_hardware_error_status,chrgr_input_voltage_error_status,chrgr_output_current,chrgr_output_voltage,chrgr_temp,chrgr_temp_error_status,city,country,state,vehicle_id,zipcode
charger_state_limits,2023-05-12T19:26:05.864Z,false,false,false,12.3,99.7,26,false,Tulare,USA,CA,mbx002vwbmz22003,95138
charger_state_limits,2023-05-12T19:26:06.86Z,false,false,false,12.3,99.7,27,false,Tulare,USA,CA,mbx002vwbmz22003,95138
charger_state_limits,2023-05-12T19:26:06.872Z,false,false,false,12.3,99.7,27,false,Tulare,USA,CA,mbx002vwbmz22003,95138
charger_state_limits,2023-05-12T19:26:07.861Z,false,false,false,12.3,99.6,26,false,Tulare,USA,CA,mbx002vwbmz22003,95138
charger_state_limits,2023-05-12T19:26:07.893Z,false,false,false,12.3,99.6,26,false,Tulare,USA,CA,mbx002vwbmz22003,95138
charger_state_limits,2023-05-12T19:26:08.892Z,false,false,false,12.3,99.6,27,false,Tulare,USA,CA,mbx002vwbmz22003,95138
charger_state_limits,2023-05-12T19:26:10.106Z,false,false,false,12.3,99.6,27,false,Tulare,USA,CA,mbx002vwbmz22003,95138
charger_state_limits,2023-05-12T19:26:10.384Z,false,false,false,12.3,99.6,27,false,Tulare,USA,CA,mbx002vwbmz22003,95138
charger_state_limits,2023-05-12T19:26:11.737Z,false,false,false,12.3,99.7,27,false,Tulare,USA,CA,mbx002vwbmz22003,95138
charger_state_limits,2023-05-12T19:26:13.764Z,false,false,false,12.3,99.6,27,false,Tulare,USA,CA,mbx002vwbmz22003,95138
charger_state_limits,2023-05-12T19:26:13.78Z,false,false,false,12.3,99.6,27,false,Tulare,USA,CA,mbx002vwbmz22003,95138
charger_state_limits,2023-05-12T19:26:14.674Z,false,false,false,12.3,99.7,27,false,Tulare,USA,CA,mbx002vwbmz22003,95138
charger_state_limits,2023-05-12T19:26:15.445Z,false,false,false,12.3,99.7,27,false,Tulare,USA,CA,mbx002vwbmz22003,95138
charger_state_limits,2023-05-12T19:26:15.59Z,false,false,false,12.3,99.7,27,false,Tulare,USA,CA,mbx002vwbmz22003,95138
charger_state_limits,2023-05-12T19:26:16.401Z,false,false,false,12.3,99.6,27,false,Tulare,USA,CA,mbx002vwbmz22003,95138
charger_state_limits,2023-05-12T19:26:16.458Z,false,false,false,12.3,99.6,27,false,Tulare,USA,CA,mbx002vwbmz22003,95138
charger_state_limits,2023-05-12T19:26:17.478Z,false,false,false,12.3,99.6,27,false,Tulare,USA,CA,mbx002vwbmz22003,95138
charger_state_limits,2023-05-12T19:26:18.456Z,false,false,false,12.3,99.6,27,false,Tulare,USA,CA,mbx002vwbmz22003,95138
charger_state_limits,2023-05-12T19:26:18.517Z,false,false,false,12.3,99.6,27,false,Tulare,USA,CA,mbx002vwbmz22003,95138
charger_state_limits,2023-05-12T19:26:19.538Z,false,false,false,12.3,99.7,27,false,Tulare,USA,CA,mbx002vwbmz22003,95138
charger_state_limits,2023-05-12T19:26:19.573Z,false,false,false,12.3,99.7,27,false,Tulare,USA,CA,mbx002vwbmz22003,95138
charger_state_limits,2023-05-12T19:26:20.869Z,false,false,false,12.3,99.7,27,false,Tulare,USA,CA,mbx002vwbmz22003,95138
charger_state_limits,2023-05-12T19:26:20.872Z,false,false,false,12.3,99.7,27,false,Tulare,USA,CA,mbx002vwbmz22003,95138
charger_state_limits,2023-05-12T19:26:21.936Z,false,false,false,12.3,99.6,27,false,Tulare,USA,CA,mbx002vwbmz22003,95138
charger_state_limits,2023-05-12T19:26:22.437Z,false,false,false,12.3,99.6,27,false,Tulare,USA,CA,mbx002vwbmz22003,95138
charger_state_limits,2023-05-12T19:26:24.55Z,false,false,false,12.3,99.7,27,false,Tulare,USA,CA,mbx002vwbmz22003,95138
charger_state_limits,2023-05-12T19:26:24.579Z,false,false,false,12.3,99.7,27,false,Tulare,USA,CA,mbx002vwbmz22003,95138
charger_state_limits,2023-05-12T19:26:25.436Z,false,false,false,12.3,99.7,27,false,Tulare,USA,CA,mbx002vwbmz22003,95138
charger_state_limits,2023-05-12T19:26:25.64Z,false,false,false,12.3,99.7,27,false,Tulare,USA,CA,mbx002vwbmz22003,95138
charger_state_limits,2023-05-12T19:26:26.44Z,false,false,false,12.3,99.7,27,false,Tulare,USA,CA,mbx002vwbmz22003,95138
charger_state_limits,2023-05-12T19:26:26.733Z,false,false,false,12.3,99.7,27,false,Tulare,USA,CA,mbx002vwbmz22003,95138
charger_state_limits,2023-05-12T19:26:27.654Z,false,false,false,12.3,99.7,27,false,Tulare,USA,CA,mbx002vwbmz22003,95138
charger_state_limits,2023-05-12T19:26:27.702Z,false,false,false,12.3,99.7,27,false,Tulare,USA,CA,mbx002vwbmz22003,95138
charger_state_limits,2023-05-12T19:26:28.5Z,false,false,false,12.3,99.7,27,false,Tulare,USA,CA,mbx002vwbmz22003,95138
charger_state_limits,2023-05-12T19:26:28.691Z,false,false,false,12.3,99.7,27,false,Tulare,USA,CA,mbx002vwbmz22003,95138
charger_state_limits,2023-05-12T19:26:29.618Z,false,false,false,12.3,99.7,27,false,Tulare,USA,CA,mbx002vwbmz22003,95138
charger_state_limits,2023-05-12T19:26:30.781Z,false,false,false,12.3,99.7,27,false,Tulare,USA,CA,mbx002vwbmz22003,95138
charger_state_limits,2023-05-12T19:26:31.648Z,false,false,false,12.3,99.7,27,false,Tulare,USA,CA,mbx002vwbmz22003,95138
charger_state_limits,2023-05-12T19:26:32.692Z,false,false,false,12.3,99.7,27,false,Tulare,USA,CA,mbx002vwbmz22003,95138
charger_state_limits,2023-05-12T19:26:32.707Z,false,false,false,12.3,99.7,27,false,Tulare,USA,CA,mbx002vwbmz22003,95138
charger_state_limits,2023-05-12T19:26:34.686Z,false,false,false,12.3,99.7,27,false,Tulare,USA,CA,mbx002vwbmz22003,95138
charger_state_limits,2023-05-12T19:26:34.852Z,false,false,false,12.3,99.7,27,false,Tulare,USA,CA,mbx002vwbmz22003,95138
