name,time,battery_chrg_limit,battery_dischrg_limit,battery_dischrg_status,battery_mpe_status,chrg_interlock_state,chrg_power_status,city,country,j1772_current_limit,j1772_plug_state,ready_power_status,state,vehicle_id,zipcode
bms_state_limits,2023-05-02T16:07:14.235Z,-40,150,true,true,false,false,Tulare,USA,,,true,CA,mbx002vwbmz22003,95138
bms_state_limits,2023-05-02T16:07:14.43Z,-40,150,true,true,false,false,Tulare,USA,0,0,true,CA,mbx002vwbmz22003,95138
bms_state_limits,2023-05-02T16:07:14.432Z,-40,150,true,true,false,false,Tulare,USA,,,true,CA,mbx002vwbmz22003,95138
bms_state_limits,2023-05-02T16:07:14.607Z,-40,150,true,true,false,false,Tulare,USA,,,true,CA,mbx002vwbmz22003,95138
bms_state_limits,2023-05-02T16:07:14.63Z,-40,150,true,true,false,false,Tulare,USA,,,true,CA,mbx002vwbmz22003,95138
bms_state_limits,2023-05-02T16:07:14.802Z,-40,150,true,true,false,false,Tulare,USA,,,true,CA,mbx002vwbmz22003,95138
bms_state_limits,2023-05-02T16:07:14.816Z,-40,150,true,true,false,false,Tulare,USA,,,true,CA,mbx002vwbmz22003,95138
bms_state_limits,2023-05-02T16:07:15.033Z,-40,150,true,true,false,false,Tulare,USA,,,true,CA,mbx002vwbmz22003,95138
bms_state_limits,2023-05-02T16:07:15.045Z,-40,150,true,true,false,false,Tulare,USA,,,true,CA,mbx002vwbmz22003,95138
bms_state_limits,2023-05-02T16:07:15.203Z,-40,150,true,true,false,false,Tulare,USA,,,true,CA,mbx002vwbmz22003,95138
bms_state_limits,2023-05-02T16:07:15.269Z,-40,150,true,true,false,false,Tulare,USA,,,true,CA,mbx002vwbmz22003,95138
bms_state_limits,2023-05-02T16:07:15.471Z,-40,150,true,true,false,false,Tulare,USA,0,0,true,CA,mbx002vwbmz22003,95138
bms_state_limits,2023-05-02T16:07:15.472Z,-40,150,true,true,false,false,Tulare,USA,,,true,CA,mbx002vwbmz22003,95138
bms_state_limits,2023-05-02T16:07:15.613Z,-40,150,true,true,false,false,Tulare,USA,,,true,CA,mbx002vwbmz22003,95138
bms_state_limits,2023-05-02T16:07:15.775Z,-40,150,true,true,false,false,Tulare,USA,,,true,CA,mbx002vwbmz22003,95138
bms_state_limits,2023-05-02T16:07:15.808Z,-40,150,true,true,false,false,Tulare,USA,,,true,CA,mbx002vwbmz22003,95138
bms_state_limits,2023-05-02T16:07:15.975Z,-40,150,true,true,false,false,Tulare,USA,,,true,CA,mbx002vwbmz22003,95138
bms_state_limits,2023-05-02T16:07:16.006Z,-40,150,true,true,false,false,Tulare,USA,,,true,CA,mbx002vwbmz22003,95138
bms_state_limits,2023-05-02T16:07:16.195Z,-40,150,true,true,false,false,Tulare,USA,,,true,CA,mbx002vwbmz22003,95138
bms_state_limits,2023-05-02T16:07:16.205Z,-40,150,true,true,false,false,Tulare,USA,,,true,CA,mbx002vwbmz22003,95138
bms_state_limits,2023-05-02T16:07:16.372Z,-40,150,true,true,false,false,Tulare,USA,,,true,CA,mbx002vwbmz22003,95138
bms_state_limits,2023-05-02T16:07:16.554Z,-40,150,true,true,false,false,Tulare,USA,0,0,true,CA,mbx002vwbmz22003,95138
bms_state_limits,2023-05-02T16:07:16.557Z,-40,150,true,true,false,false,Tulare,USA,,,true,CA,mbx002vwbmz22003,95138
bms_state_limits,2023-05-02T16:07:16.612Z,-40,150,true,true,false,false,Tulare,USA,,,true,CA,mbx002vwbmz22003,95138
bms_state_limits,2023-05-02T16:07:16.797Z,-40,150,true,true,false,false,Tulare,USA,,,true,CA,mbx002vwbmz22003,95138
bms_state_limits,2023-05-02T16:07:16.809Z,-40,150,true,true,false,false,Tulare,USA,,,true,CA,mbx002vwbmz22003,95138
bms_state_limits,2023-05-02T16:07:16.99Z,-40,150,true,true,false,false,Tulare,USA,,,true,CA,mbx002vwbmz22003,95138
bms_state_limits,2023-05-02T16:07:17.009Z,-40,150,true,true,false,false,Tulare,USA,,,true,CA,mbx002vwbmz22003,95138
bms_state_limits,2023-05-02T16:07:17.205Z,-40,150,true,true,false,false,Tulare,USA,,,true,CA,mbx002vwbmz22003,95138
bms_state_limits,2023-05-02T16:07:17.246Z,-40,150,true,true,false,false,Tulare,USA,,,true,CA,mbx002vwbmz22003,95138
